state,company_name,date_filed,county,workers_affected,city
RI,EaglePicher,2026-01-13,,,
RI,UNFI,2025-09-10,,,
RI,Hotel Viking,2025-09-03,,,
RI,Vertex Pharmaceuticals,2025-06-08,,,
RI,UNFI,2025-03-20,,,
RI,CVS,2025-02-06,,,
RI,CVS,2024-11-25,,,
RI,UNFI ,2024-11-21,,,
RI,Gannett Publishing,2024-11-12,,,
RI,CVS,2024-10-07,,,
RI,Kaleo,2024-10-02,,,
RI,Riley Power Group,2024-09-25,,,
RI,Riley Power Group,2024-08-22,,,
RI,Ennovi Advanced Mobility Solutions Rhode Island Inc,2024-07-31,,,
RI,Kirby Perkins Construction,2024-07-12,,,
RI,The Claflin Company ,2024-05-20,,,
RI,ASM GLOBAL,2024-05-09,,,
RI,NMC,2024-05-02,,,
RI,UPS (updated from previous),2024-04-01,,,
RI,Volta Inc,2024-04-01,,,
RI,Lakeside Book Company,2024-02-27,,,
RI,UPS,2024-02-06,,,
RI,Los Angeles Times Communications LLC,2024-01-25,,,
RI,Newport  Harbor Island Resort,2023-09-22,,,
RI,CVS Health,2023-08-18,,,
RI,TPI Composites Inc,2023-08-15,,,
RI,"Aramark Facility Services, LLC",2023-07-05,,,
RI,"Aramark Facility Services, LLC",2023-07-04,,,
RI,Northeast Transportation Services LLC,2023-01-24,,,
RI,Monitronics International Inc (Brinks Home),2023-01-11,,,
RI,BayFirst Financial Corporation ,2022-09-27,,,
RI,Rubius Therapeutics,2022-09-13,,,
RI,Santander,2022-02-02,,,
RI,Honeywell,2021-05-26,,,
RI,Angelica,2021-05-20,,,
RI,Santander*,2020-09-30,,,
RI,Hotel Viking*,2020-08-25,,,
RI,Hotel Viking*,2020-08-25,,,
RI,Providence Mariott*,2020-08-17,,,
RI,Omni Hotel & Resorts*,2020-08-13,,,
RI,RHD Rhode Island*,2020-07-30,,,
RI,Twin River - Lincoln*,2020-07-28,,,
RI,Twin River - Tiverton*,2020-07-28,,,
RI,"McLaughlin & Moran, Inc*",2020-07-10,,,
RI,Upserve *,2020-06-30,,,
RI,YMCA of Pawtucket *,2020-06-22,,,
RI,Newport Marriot *,2020-06-03,,,
RI,The Preservation Society of Newport County *,2020-05-29,,,
RI,Bloomin Brands*,2020-04-27,,,
RI,CB Chadwick-BaRoss*,2020-04-23,,,
RI,Eastern Speciality/Check n GO*,2020-04-21,,,
RI,FGX Int*,2020-04-17,,,
RI,Massage Envy*,2020-04-14,,,
RI,Moo*,2020-04-04,,,
RI,The Vanderbuilt*,2020-03-27,,,
RI,HM Host*,2020-03-23,,,
RI,Highgate*,2020-03-23,,,
RI,Greystone*,2020-03-20,,,
RI,Spectrum Pharmaceuticals,2019-02-14,,,
RI,Tuition Management Systems,2019-01-21,,,
RI,"Agoda Travel Operations USA, Inc.",2019-01-14,,,
RI,"DAL Global Services, LLC (DGS)",2018-11-09,,,
RI,"Hooper Holmes, Inc. dba Provant Health",2018-11-01,,,
RI,Nordstrom Providence Place,2018-11-01,,,
RI,Matlet/Group,2018-10-09,,,
RI,"United Builders Supply Co., Inc.",2018-09-20,,,
RI,Chase Corp dba Neptco,2018-06-25,,,
RI,Pinnacle Logistics,2018-06-01,,,
RI,Memorial Hospital of Rhode Island,2017-11-03,,,
RI,Benny's,2017-09-12,,,
RI,"Sodexo, Inc and Affiliates",2016-06-01,,,
RI,Homemade Real Foods,2016-05-06,,,
RI,First Student,2016-05-05,,,
RI,Aramark,2016-04-08,,,
RI,Optum,2016-02-01,,,
RI,Sam's Club,2016-01-15,,,
RI,Blue Cross Blue Shield of RI,2015-11-18,,,
RI,"Fresenius Management Services, Inc.",2015-11-12,,,
RI,"Teespring, Inc.",2015-06-25,,,
RI,"United Airlines, Inc.'s Airport Operations Division",2015-03-11,,,
RI,Honeywell,2015-03-02,,,
RI,IntegraMed Inc.,2014-07-30,,,
RI,Cox Communications,2014-07-01,,,
RI,Sodexo,2014-03-31,,,
RI,Money Management International,2013-11-18,,,
RI,Dessert Services Inc.,2013-09-30,,,
RI,"Landauef Metropolitan, Inc.",2013-08-16,,,
RI,Essential Salon Products Inc.,2013-06-13,,,
RI,Sodexho Inc,2013-05-23,,,
RI,American Suzuki Motor Corporation,2013-01-11,,,
RI,Portola Tech International Inc.,2012-06-27,,,
RI,Pawtuxet Village Care & Rehabilitation Center,2012-04-12,,,
RI,"John Crane, Inc.",2012-01-31,,,
RI,Lowe?s Home Center,2011-10-17,,,
RI,WSI,2011-09-02,,,
RI,Lockheed Martin Corp - Global Training & Logistics,2011-08-03,,,
RI,BNY Mellon,2011-08-01,,,
RI,Flextronics Americas LLC,2011-05-27,,,
RI,Bank of New York Mellon (BNY Mellon),2011-04-01,,,
RI,Stanley Black & Decker,2011-02-15,,,
RI,"Wal-Mart Stores, Inc. /Sam’s Club",2011-01-25,,,
RI,Bank of America,2010-08-23,,,
RI,Stanley Works Nail Dept.,2010-02-08,,,
RI,Stanley Works Nail Dept.,2010-02-08,,,
RI,The Ski Market,2010-01-04,,,
RI,Leviton Mfg,2009-11-24,,,
RI,Liz Clayborne,2009-11-24,,,
RI,Aramark,2009-10-08,,,
RI,A.T. Cross,2009-10-05,,,
RI,A.T. Cross,2009-08-25,,,
RI,Portola,2009-07-14,,,
RI,Victoria & Company,2009-07-14,,,
RI,HGA Quest,2009-07-02,,,
RI,Providence Public Library,2009-04-29,,,
RI,First Student,2009-04-15,,,
RI,A.T. Cross,2009-03-23,,,
RI,Honeywell,2009-03-10,,,
RI,Victoria & Company,2009-03-09,,,
RI,APC by Schneider Electric,2009-03-06,,,
RI,Leviton Mfg,2009-03-05,,,
RI,"Colibri Group, Inc.",2009-02-20,,,
RI,Bank of America,2009-01-12,,,
MT,,,Unknown,,
MT,,,Ravalli/Pondera/Hill,,
MT,,,Multiple,,
MT,,,Missoula,,
MT,,,Unknown,,
MT,,,Missoula,,
MT,,,Lewis & Clark,,
MT,,,Lewis & Clark,,
MT,,,"Dawson, Fallon, Prairie and Wibaux",,
MT,,,Bozeman/Gallatin,,
MT,,,Missoula,,
MT,,,Missoula,,
MT,,,Stillwater/Sweetgrass,,
MT,,,Gallatin,,
MT,,,Flathead,,
MT,,,Richland,,
MT,,,Missoula CTY,,
MT,,,Billings/Yellowstone,,
MT,,,Multiple sites,,
MT,,,Mineral,,
MT,,,Broadwater,,
MT,,,Missoula,,
MT,,,Flathead,,
MT,,,Missoula,,
MT,,,Yellowstone,,
MT,,,Multiple Counties,,
MT,,,Multiple Counties,,
MT,,,Missoula,,
MT,,,Jefferson,,
MT,,,Jefferson,,
MT,,,Dawson,,
MT,,,Big Horn,,
MT,,,Big Horn,,
MT,,,Lolo,,
MT,,,Great Falls,,
MT,,,Mineral,,
MT,,,Valley,,
MT,,,Custer,,
MT,,,Flathead,,
MT,,,Flathead,,
MT,,,Cascade,,
MT,,,Jefferson,,
MT,,,Multiple - Eastern MT,,
IN,"First Brands Group, LLC",,,345.0,Jasper
IN,"First Brands Group, LLC",,,38.0,Logansport
IN,"Grouper Acquisition Company, LLC, dba Shiloh Industries, Inc",,,172.0,Goshen
IN,National Distribution Centers,,,53.0,Lebanon
IN,"Inari Agriculture, Inc.",,,64.0,West Lafayette
IN,Margaret Mary Community Hospital (dba Margaret Mary Health),,,55.0,Batesville
IN,Wabash,,,144.0,Goshen
IN,Dalton Corporation,,,257.0,Warsaw
IN,AAR Aircraft Services,,,329.0,Indianapolis
IN,Spartech LLC,,,125.0,Muncie
IN,FreshRealm,,,168.0,Indianapolis
IN,Kloeckner Metals,,,54.0,Indianapolis
IN,MDWise,,,238.0,Indianapolis
IN,"JMS Engineered Plastics, Inc.",,,49.0,South Bend
IN,"Freudenberg Residential Filtration Technologies, Inc.",,,173.0,LaPorte
IN,"GT Industries, Inc.",,,95.0,North Vernon
IN,Raydia Food Group,,,200.0,"Bloomington, Mishawaka, South Bend"
IN,Perdue Foods LLC,,,293.0,Washington
IN,"Thermal Structures, Inc.",,,155.0,Plainfield
IN,"National Distribution Centers, LLC & NFI Interactive Logistics, LLC",,,79.0,Lebanon
IN,Navient Solutions LLC,,,128.0,Fishers
IN,ASM Global/ Old National Event Plaza,,,248.0,Evansville
IN,"Shine Early Learning, Inc",,,57.0,Fishers
IN,Target Corp. Distribution Center,,,201.0,Indianapolis
IN,Community Development Institute Head Start,,,65.0,Richmond
IN,Columbus Regional Health,,,50.0,Columbus
IN,General Aluminum,,,62.0,Huntington
IN,"Hoffmaster Group, Inc",,,53.0,Fort Wayne
IN,NFI Industries,,,78.0,Crown Point
IN,SSC Services for Education dba South Bend School District,,,203.0,South Bend
IN,SSC Services for Education dba Muncie Community Schools,,,58.0,Muncie
IN,"DRV, LLC",,,51.0,Howe
IN,Cruiser RV,,,251.0,Howe
IN,"Heartland Recreational Vehicles, LLC",,,147.0,Elkhart
IN,Nachi Technology Inc (NTI),,,72.0,Greenwood
IN,RR Donnelley,,,96.0,Seymour
IN,ABM,,,77.0,Indianapolis
IN,Jack Cooper Transport Company,,,251.0,Roanoke
IN,US Arconic LLC Revised (3/27/25),,,80.0,Lafayette
IN,Phoenix Financial Services,,,94.0,Fishers
IN,Resident Home,,,106.0,Jeffersonville
IN,"Management & Training Corp, dba Atterbury Job Corp Center",,,204.0,Edinburgh
IN,"UNFI Wholesale Inc, (UNFI) Distribution Center",,,157.0,Fort Wayne
IN,Forest River Inc.,,,160.0,Elkhart
IN,"Pridgeon & Clay, Inc.",,,125.0,Franklin
IN,Copeland Corp,,,75.0,Greenfield
IN,EYM Chicken of Indiana,,,193.0,"Indianapolis, Franklin, Greencastle, Brazil, Batesville, Elkhart, Gary, Valparaiso, Hobart, Michigan City, Mooresville, Brazil"
IN,Novae LLC,,,80.0,North Manchester
IN,Hancock Regional Hospital,,,50.0,Greenfield
IN,Triple Canopy,,,123.0,"Anderson, Auburn, Bloomington, Columbus, Elkhart, Evansville, Fort Wayne, Gary, Hammond, Indianapolis, Kokomo, Lafayette, Madison, Marion, Merrillville, Michigan City,  Muncie, Richmond, South Bend, Terre Haute, Valparaiso, and Vincennes"
IN,TBK America Inc,,,86.0,Richmond
IN,SmartStyle Salon,,,1.0,Anderson
IN,North American Stamping Group,,,62.0,Muncie
